Recency,Frequency,Monetary,Cluster,Segment
84,9,87491,3,Potential High-Value
57,7,8634,1,Regular Shoppers
26,10,215140,3,Potential High-Value
2,10,107790,3,Potential High-Value
6,57,605984,0,Loyal Customers
91,29,231042,0,Loyal Customers
173,4,34496,1,Regular Shoppers
191,6,10994,1,Regular Shoppers
2,29,335142,0,Loyal Customers
116,10,43320,1,Regular Shoppers
49,7,47744,1,Regular Shoppers
20,10,84351,3,Potential High-Value
100,8,28292,1,Regular Shoppers
489,1,199,2,Churned Customers
99,10,142370,3,Potential High-Value
11,8,86458,3,Potential High-Value
108,11,72139,3,Potential High-Value
55,9,64301,1,Regular Shoppers
199,3,14197,1,Regular Shoppers
0,15,90835,3,Potential High-Value
133,5,92995,1,Regular Shoppers
20,9,104042,3,Potential High-Value
69,4,11497,1,Regular Shoppers
297,2,3598,2,Churned Customers
71,7,88173,1,Regular Shoppers
179,4,4896,1,Regular Shoppers
31,27,164423,0,Loyal Customers
150,5,61951,1,Regular Shoppers
18,5,14695,1,Regular Shoppers
21,10,201120,3,Potential High-Value
70,7,13793,1,Regular Shoppers
118,5,73995,1,Regular Shoppers
19,12,51488,3,Potential High-Value
98,7,18943,1,Regular Shoppers
8,10,90140,3,Potential High-Value
117,10,56990,1,Regular Shoppers
367,5,20295,2,Churned Customers
175,8,48492,1,Regular Shoppers
169,5,56851,1,Regular Shoppers
26,27,248923,0,Loyal Customers
29,10,86661,3,Potential High-Value
65,6,20394,1,Regular Shoppers
21,1,1299,1,Regular Shoppers
665,1,599,2,Churned Customers
714,1,999,2,Churned Customers
127,9,68607,1,Regular Shoppers
351,2,849,2,Churned Customers
380,4,31796,2,Churned Customers
78,4,22496,1,Regular Shoppers
62,9,113242,3,Potential High-Value
60,7,16903,1,Regular Shoppers
85,14,272986,0,Loyal Customers
198,3,31358,1,Regular Shoppers
202,3,28497,1,Regular Shoppers
19,14,117086,3,Potential High-Value
129,9,112191,3,Potential High-Value
34,3,25497,1,Regular Shoppers
86,8,4342,1,Regular Shoppers
83,6,52144,1,Regular Shoppers
46,1,199,1,Regular Shoppers
69,7,52743,1,Regular Shoppers
153,18,209482,0,Loyal Customers
162,4,16096,1,Regular Shoppers
77,26,184024,0,Loyal Customers
20,10,81490,3,Potential High-Value
206,3,5497,1,Regular Shoppers
50,9,76701,3,Potential High-Value
15,7,39143,1,Regular Shoppers
7,19,183218,3,Potential High-Value
106,7,81543,1,Regular Shoppers
2,13,72887,3,Potential High-Value
101,8,34442,1,Regular Shoppers
20,9,216191,3,Potential High-Value
23,4,14796,1,Regular Shoppers
13,7,70093,1,Regular Shoppers
443,3,5297,2,Churned Customers
33,9,57691,1,Regular Shoppers
92,4,90946,1,Regular Shoppers
49,18,97803,3,Potential High-Value
31,6,44074,1,Regular Shoppers
215,3,14947,1,Regular Shoppers
92,7,12793,1,Regular Shoppers
629,2,1798,2,Churned Customers
119,4,28896,1,Regular Shoppers
218,5,56545,1,Regular Shoppers
51,11,132569,3,Potential High-Value
1,6,46994,1,Regular Shoppers
197,7,26173,1,Regular Shoppers
41,29,421792,0,Loyal Customers
297,2,30498,2,Churned Customers
1,6,13494,1,Regular Shoppers
54,21,241345,0,Loyal Customers
51,26,239205,0,Loyal Customers
3,28,215852,0,Loyal Customers
186,6,7490,1,Regular Shoppers
35,20,159080,3,Potential High-Value
251,1,19999,2,Churned Customers
87,3,52997,1,Regular Shoppers
130,3,2797,1,Regular Shoppers
288,8,83292,2,Churned Customers
27,22,173088,0,Loyal Customers
11,6,54994,1,Regular Shoppers
13,15,65185,3,Potential High-Value
617,1,3999,2,Churned Customers
37,18,185382,3,Potential High-Value
147,11,88200,3,Potential High-Value
42,4,29096,1,Regular Shoppers
19,21,184389,0,Loyal Customers
526,1,599,2,Churned Customers
16,10,73456,3,Potential High-Value
172,5,6695,1,Regular Shoppers
79,10,29056,1,Regular Shoppers
305,3,8597,2,Churned Customers
41,6,73894,1,Regular Shoppers
74,12,41138,1,Regular Shoppers
30,7,59943,1,Regular Shoppers
68,9,124091,3,Potential High-Value
46,8,141792,3,Potential High-Value
61,7,84493,1,Regular Shoppers
34,7,36193,1,Regular Shoppers
110,8,45842,1,Regular Shoppers
301,4,92996,2,Churned Customers
64,14,147536,3,Potential High-Value
